1.4336E-01,6.4048E-01
1.7165E-01,6.4990E-01
2.0818E-01,6.8687E-01
2.3676E-01,7.2565E-01
2.6582E-01,7.7703E-01
3.0622E-01,7.8828E-01
3.4381E-01,8.9108E-01
3.9606E-01,9.2881E-01
4.4468E-01,9.8119E-01
5.0572E-01,1.0507E+00
5.9013E-01,1.1407E+00
6.6257E-01,1.2215E+00
7.4389E-01,1.3258E+00
8.5696E-01,1.3819E+00
9.7460E-01,1.5001E+00
1.0942E+00,1.6063E+00
1.2769E+00,1.7438E+00
1.3972E+00,1.9978E+00
1.4153E+00,2.3506E+00
1.8071E+00,2.3223E+00
2.0030E+00,2.4865E+00
2.2779E+00,2.6628E+00
2.5575E+00,2.8902E+00
2.8347E+00,3.1796E+00
3.1827E+00,3.4981E+00
3.4826E+00,3.7963E+00
4.0119E+00,4.1773E+00
4.3899E+00,4.5952E+00
4.9288E+00,5.0557E+00
5.5337E+00,5.6381E+00
6.1335E+00,6.1191E+00
6.7114E+00,6.7313E+00
7.8317E+00,7.4074E+00
8.5696E+00,8.0388E+00
9.6214E+00,8.9649E+00
1.0802E+01,9.9977E+00
1.2285E+01,1.0852E+01
1.3793E+01,1.1779E+01
1.5288E+01,1.2958E+01
1.6515E+01,1.4254E+01
1.8305E+01,1.5470E+01
2.0552E+01,1.6565E+01
2.3373E+01,1.8475E+01
2.5906E+01,2.0051E+01
2.8714E+01,2.2058E+01
3.2239E+01,2.4269E+01
3.7139E+01,2.6345E+01
4.1165E+01,2.8593E+01
4.8036E+01,3.3217E+01
5.1227E+01,3.5558E+01
5.9013E+01,4.0201E+01
6.4574E+01,4.3041E+01
7.1573E+01,4.6713E+01
8.0358E+01,5.3525E+01
8.7929E+01,5.6535E+01
